origin_id_pg,destination_id,destination_name,rank_diff,cost_diff,length_diff
24,7,McMahon Gas Plant,0,0.23,833.07
24,8,Kamloops,0,0.23,163.41
24,9,Castlegar,0,-1.37,-53552.85
24,10,Elkford,0,0.22,211.50
25,1,Terrace,0,0.19,641.69
25,2,Vancouver,0,0.18,9.42
25,3,Mackenzie,0,0.18,559.04
25,4,Prince George,0,0.18,320.55
25,5,Quesnel,0,0.18,162.06
25,6,Williams Lake,0,0.19,43.68
25,7,McMahon Gas Plant,0,0.19,688.62
25,8,Kamloops,0,0.19,18.96
25,9,Castlegar,0,-1.42,-53697.30
25,10,Elkford,0,0.18,67.05
26,1,Terrace,0,0.09,353.19
26,2,Vancouver,0,0.09,-279.08
26,3,Mackenzie,0,0.09,270.55
26,4,Prince George,0,0.10,32.05
26,5,Quesnel,0,0.10,-126.43
26,6,Williams Lake,0,0.09,-244.82
26,7,McMahon Gas Plant,0,0.09,400.13
26,8,Kamloops,0,0.09,-269.54
26,9,Castlegar,0,-1.51,-53985.79
26,10,Elkford,0,0.10,-221.45
27,1,Terrace,0,0.05,225.01
27,2,Vancouver,0,0.06,-407.26
27,3,Mackenzie,0,0.06,142.36
27,4,Prince George,0,0.05,-96.13
27,5,Quesnel,0,0.06,-254.61
27,6,Williams Lake,0,0.05,-373.00
27,7,McMahon Gas Plant,0,0.05,271.94
27,8,Kamloops,0,0.05,-397.72
27,9,Castlegar,0,-1.54,-54113.97
27,10,Elkford,0,0.05,-349.63
28,1,Terrace,0,0.03,164.73
28,2,Vancouver,0,0.04,-467.54
28,3,Mackenzie,0,0.04,82.08
28,4,Prince George,0,0.03,-156.41
28,5,Quesnel,0,0.04,-314.90
28,6,Williams Lake,0,0.03,-433.29
28,7,McMahon Gas Plant,0,0.03,211.66
28,8,Kamloops,0,0.03,-458.00
28,9,Castlegar,0,-1.56,-54174.26
28,10,Elkford,0,0.03,-409.92
30,1,Terrace,0,-0.24,-725.85
30,2,Vancouver,0,-0.23,-1358.12
30,3,Mackenzie,0,-0.24,-808.50
30,4,Prince George,0,-0.24,-1047.00
30,5,Quesnel,0,-0.24,-1205.48
30,6,Williams Lake,0,-0.24,-1323.88
30,7,McMahon Gas Plant,0,-0.24,-678.92
30,8,Kamloops,0,-0.24,-1348.59
30,9,Castlegar,0,-1.85,-55064.84
30,10,Elkford,0,-0.24,-1300.50
31,1,Terrace,0,0.15,530.87
31,2,Vancouver,0,0.15,-101.40
31,3,Mackenzie,0,0.15,448.22
31,4,Prince George,0,0.14,209.72
31,5,Quesnel,0,0.15,51.24
31,6,Williams Lake,0,0.15,-67.15
31,7,McMahon Gas Plant,0,0.15,577.80
31,8,Kamloops,0,0.15,-91.87
31,9,Castlegar,0,-1.45,-53808.11
31,10,Elkford,0,0.15,-43.77
32,1,Terrace,0,0.22,760.94
32,2,Vancouver,0,0.22,128.67
32,3,Mackenzie,0,0.22,678.29
32,4,Prince George,0,0.22,439.80
32,5,Quesnel,0,0.22,281.32
32,6,Williams Lake,0,0.22,162.93
